Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference
31,Kyle Ford,"Orange, CA",WR,6 ft 2 in,212,USC,2019,Pac-12
32,Evan Neal,"Bradenton, FL",OT,6 ft 7.5 in,360,Alabama,2019,SEC
1,Trevor Lawrence,"Cartersville, GA",PRO,6 ft 6 in,208,Clemson,2018,ACC
2,Justin Fields,"Kennesaw, GA",DUAL,6 ft 3 in,221,Georgia,2018,SEC
3,Eyabi Okie-Anoma,"Baltimore, MD",WDE,6 ft 5 in,235,Alabama,2018,SEC
4,Xavier Thomas,"Bradenton, FL",SDE,6 ft 3 in,260,Clemson,2018,ACC
5,Micah Parsons,"Harrisburg, PA",WDE,6 ft 3 in,235,Penn State,2018,Big Ten
6,JT Daniels,"Santa Ana, CA",PRO,6 ft 2 in,205,USC,2018,Pac-12
7,Justin Shorter,"Monmouth Junction, NJ",WR,6 ft 4 in,213,Penn State,2018,Big Ten
8,Jamaree Salyer,"Atlanta, GA",OG,6 ft 4 in,342,Georgia,2018,SEC
9,Nicholas Petit-Frere,"Tampa, FL",OT,6 ft 6 in,272,Ohio State,2018,Big Ten
10,Amon-Ra St. Brown,"Anaheim, CA",WR,5 ft 11.5 in,191,USC,2018,Pac-12
11,Patrick Surtain II,"Fort Lauderdale, FL",CB,6 ft 1.25 in,199,Alabama,2018,SEC
12,Tyson Campbell,"Fort Lauderdale, FL",CB,6 ft 2.5 in,180,Georgia,2018,SEC
13,Zamir White,"Laurinburg, NC",RB,6 ft 1 in,210,Georgia,2018,SEC
14,Jordyn Adams,"Cary, NC",WR,6 ft 2 in,175,North Carolina,2018,ACC
15,Brey Walker,"Moore, OK",OT,6 ft 7 in,320,Oklahoma,2018,Big 12
16,Jalen Redmond,"Oklahoma City, OK",WDE,6 ft 4 in,233,Oklahoma,2018,Big 12
17,Jalen Green,"Houston, TX",CB,6 ft 0 in,171,Texas,2018,Big 12
18,Jeremy Ruckert,"Lindenhurst, NY",TE,6 ft 5.5 in,238,Ohio State,2018,Big Ten
19,Ja'Marr Chase,"Metairie, LA",WR,6 ft 1 in,195,LSU,2018,SEC
20,Terrace Marshall,"Bossier City, LA",WR,6 ft 2.5 in,192,LSU,2018,SEC
21,Ale Kaho,"Reno, NV",ILB,6 ft 1 in,218,Alabama,2018,SEC
22,Palaie Gaoteote IV,"Las Vegas, NV",ILB,6 ft 2 in,235,USC,2018,Pac-12
23,Channing Tindall,"Columbia, SC",ILB,6 ft 2 in,213,Georgia,2018,SEC
24,Cameron McGrone,"Indianapolis, IN",OLB,6 ft 1 in,215,Michigan,2018,Big Ten
25,Josh Belk,"Richburg, SC",DT,6 ft 3 in,309,Clemson,2018,ACC
26,KJ Henry,"Clemmons, NC",WDE,6 ft 5.5 in,235,Clemson,2018,ACC
27,Adam Anderson,"Rome, GA",OLB,6 ft 4 in,214,Georgia,2018,SEC
28,DeMarvion Overshown,"Arp, TX",S,6 ft 4 in,200,Texas,2018,Big 12
29,Talanoa Hufanga,"Corvallis, OR",ATH,6 ft 0.5 in,193,USC,2018,Pac-12
30,Derion Kendrick,"Rock Hill, SC",WR,6 ft 1 in,184,Clemson,2018,ACC
31,Quay Walker,"Cordele, GA",OLB,6 ft 4 in,236,Georgia,2018,SEC
32,Caden Sterns,"Cibolo, TX",S,6 ft 1 in,192,Texas,2018,Big 12
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten
31,Marvin Wilson,"Bellaire, TX",DT,6 ft 4 in,329,Florida State,2017,ACC
32,Dylan Moses,"Bradenton, FL",OLB,6 ft 2.5 in,235,Alabama,2017,SEC
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten
31,Marvin Wilson,"Bellaire, TX",DT,6 ft 4 in,329,Florida State,2017,ACC
32,Dylan Moses,"Bradenton, FL",OLB,6 ft 2.5 in,235,Alabama,2017,SEC
1,Rashan Gary,"Paramus, NJ",DT,6 ft 5 in,293,Michigan,2016,Big Ten
2,Dexter Lawrence,"Wake Forest, NC",DT,6 ft 4 in,327,Clemson,2016,ACC
3,Shea Patterson,"Bradenton, FL",PRO,6 ft 1.5 in,192,Ole Miss,2016,SEC
4,Jacob Eason,"Lake Stevens, WA",PRO,6 ft 5.5 in,208,Georgia,2016,SEC
5,Greg Little,"Allen, TX",OT,6 ft 5.5 in,305,Ole Miss,2016,SEC
6,Derrick Brown,"Buford, GA",DT,6 ft 3.75 in,317,Auburn,2016,SEC
7,Ed Oliver,"Houston, TX",DT,6 ft 2 in,277,Houston,2016,American Athletic
8,Tommy Kraemer,"Cincinnati, OH",OT,6 ft 5.5 in,309,Notre Dame,2016,Independent/ACC
9,Oluwole Betiku Jr.,"Gardena, CA",WDE,6 ft 3.5 in,240,USC,2016,Pac-12
10,Nick Bosa,"Fort Lauderdale, FL",SDE,6 ft 4 in,265,Ohio State,2016,Big Ten
11,Levonta Taylor,"Virginia Beach, VA",CB,5 ft 11 in,182,Florida State,2016,ACC
12,Landon Young,"Lexington, KY",OT,6 ft 7 in,270,Kentucky,2016,SEC
13,Ben Davis,"Gordo, AL",ILB,6 ft 3 in,240,Alabama,2016,SEC
14,Tavien Feaster,"Spartanburg, SC",APB,5 ft 11 in,196,Clemson,2016,ACC
15,Ben Cleveland,"Toccoa, GA",OT,6 ft 6 in,319,Georgia,2016,SEC
16,Demetris Robertson,"Savannah, GA",WR,5 ft 11.75 in,175,California,2016,Pac-12
17,Landon Dickerson,"Hudson, NC",OT,6 ft 5 in,300,Florida State,2016,ACC
18,Michael Divinity,"Marrero, LA",OLB,6 ft 2 in,218,LSU,2016,SEC
19,Mack Wilson,"Montgomery, AL",OLB,6 ft 2 in,220,Alabama,2016,SEC
20,Rashard Lawrence,"Monroe, LA",DT,6 ft 3 in,305,LSU,2016,SEC
21,Michael Pittman Jr.,"Thousand Oaks, CA",WR,6 ft 4 in,209,USC,2016,Pac-12
22,Brian Burns,"Fort Lauderdale, FL",WDE,6 ft 4.5 in,209,Florida State,2016,ACC
23,Terrell Lewis,"Washington, DC",WDE,6 ft 5 in,250,Alabama,2016,SEC
24,Jonah Williams,"Folsom, CA",OT,6 ft 5 in,280,Alabama,2016,SEC
25,Jack Jones,"Long Beach, CA",CB,5 ft 11 in,164,USC,2016,Pac-12
26,Michal Menet,"Reading, PA",OG,6 ft 5 in,283,Penn State,2016,Big Ten
27,Mecole Hardman,"Elberton, GA",ATH,5 ft 10 in,169,Georgia,2016,SEC
28,Kristian Fulton,"Metairie, LA",CB,6 ft 0 in,177,LSU,2016,SEC
29,Shane Simmons,"Hyattsville, MD",WDE,6 ft 4 in,221,Penn State,2016,Big Ten
30,Curtis Robinson,"Santa Ana, CA",OLB,6 ft 2.75 in,210,Stanford,2016,Pac-12
31,McTelvin Agim,"Hope, AR",SDE,6 ft 2.5 in,268,Arkansas,2016,SEC
32,Jonathon Cooper,"Columbus, OH",WDE,6 ft 2.25 in,234,Ohio State,2016,Big Ten
1,Trenton Thompson,"Albany, GA",DT,6 ft 2.5 in,313,Georgia,2015,SEC
2,Martez Ivey,"Apopka, FL",OT,6 ft 5.5 in,275,Florida,2015,SEC
3,Kahlil McKenzie,"Concord, CA",DT,6 ft 3 in,339,Tennessee,2015,SEC
4,Derwin James,"Auburndale, FL",S,6 ft 2 in,201,Florida State,2015,ACC
5,Iman Marshall,"Long Beach, CA",CB,6 ft 1 in,190,USC,2015,Pac-12
6,Josh Sweat,"Chesapeake, VA",WDE,6 ft 5 in,240,Florida State,2015,ACC
7,Byron Cowart,"Seffner, FL",SDE,6 ft 4 in,250,Auburn,2015,SEC
8,Terry Beckner Jr.,"East Saint Louis, IL",DT,6 ft 4 in,293,Missouri,2015,SEC
9,Kevin Toliver II,"Jacksonville, FL",CB,6 ft 2 in,185,LSU,2015,SEC
10,Donte Jackson,"New Orleans, LA",ATH,5 ft 11 in,164,LSU,2015,SEC
11,CeCe Jefferson,"Glen Saint Mary, FL",SDE,6 ft 2 in,275,Florida,2015,SEC
12,Malik Jefferson,"Mesquite, TX",OLB,6 ft 2.5 in,215,Texas,2015,Big 12
13,Jarrett Stidham,"Stephenville, TX",DUAL,6 ft 4 in,195,Baylor,2015,Big 12
14,Deon Cain,"Tampa, FL",WR,6 ft 1.5 in,194,Clemson,2015,ACC
15,Rasheem Green,"Gardena, CA",DT,6 ft 5 in,275,USC,2015,Pac-12
16,Josh Rosen,"Bellflower, CA",PRO,6 ft 4 in,205,UCLA,2015,Pac-12
17,Calvin Ridley,"Pompano Beach, FL",WR,6 ft 0 in,170,Alabama,2015,SEC
18,Daylon Mack,"Gladewater, TX",DT,6 ft 1 in,330,Texas A&M,2015,SEC
19,Tarvarus McFadden,"Fort Lauderdale, FL",CB,6 ft 2 in,198,Florida State,2015,ACC
20,Justin Hilliard,"Cincinnati, OH",OLB,6 ft 0 in,225,Ohio State,2015,Big Ten
21,Kyle Phillips,"Nashville, TN",SDE,6 ft 3.5 in,250,Tennessee,2015,SEC
22,Chidi Okeke,"Ludowici, GA",OT,6 ft 6 in,305,LSU,2015,SEC
23,Blake Barnett,"Corona, CA",PRO,6 ft 4.5 in,200,Alabama,2015,SEC
24,Christian Wilkins,"Suffield, CT",DT,6 ft 4 in,290,Clemson,2015,ACC
25,Osa Masina,"Salt Lake City, UT",OLB,6 ft 3.5 in,230,USC,2015,Pac-12
26,Canton Kaumatule,"Honolulu, HI",SDE,6 ft 7 in,290,Oregon,2015,Pac-12
27,Mitch Hyatt,"Suwanee, GA",OT,6 ft 5 in,272,Clemson,2015,ACC
28,Porter Gustin,"Salem, UT",OLB,6 ft 5 in,245,USC,2015,Pac-12
29,Preston Williams,"Hampton, GA",WR,6 ft 4 in,191,Tennessee,2015,SEC
30,Kyler Murray,"Allen, TX",DUAL,5 ft 10 in,180,Texas A&M,2015,SEC
31,Kendall Sheffield,"Missouri City, TX",CB,6 ft 0 in,181,Alabama,2015,SEC
32,Javon Patterson,"Petal, MS",OG,6 ft 2.5 in,317,Ole Miss,2015,SEC
1,Myles Garrett,"Arlington, TX",WDE,6 ft 4 in,240,Texas A&M,2014,SEC
2,Leonard Fournette,"New Orleans, LA",RB,6 ft 1 in,226,LSU,2014,SEC
3,Cam Robinson,"West Monroe, LA",OT,6 ft 7 in,335,Alabama,2014,SEC
4,Jabrill Peppers,"Paramus, NJ",ATH,6 ft 0 in,205,Michigan,2014,Big Ten
5,Kyle Allen,"Scottsdale, AZ",PRO,6 ft 3 in,200,Texas A&M,2014,SEC
6,Speedy Noil,"New Orleans, LA",WR,5 ft 10.5 in,176,Texas A&M,2014,SEC
7,Da'Shawn Hand,"Woodbridge, VA",SDE,6 ft 4 in,265,Alabama,2014,SEC
8,Quin Blanding,"Virginia Beach, VA",S,6 ft 2 in,200,Virginia,2014,ACC
9,Andrew Brown,"Chesapeake, VA",DT,6 ft 4 in,282,Virginia,2014,ACC
10,Marlon Humphrey,"Hoover, AL",CB,6 ft 1 in,175,Alabama,2014,SEC
11,Rashaan Evans,"Auburn, AL",OLB,6 ft 3 in,220,Alabama,2014,SEC
12,Dalvin Cook,"Miami, FL",RB,5 ft 11 in,190,Florida State,2014,ACC
13,Dante Booker,"Akron, OH",OLB,6 ft 3 in,212,Ohio State,2014,Big Ten
14,Christian Miller,"Columbia, SC",OLB,6 ft 4 in,222,Alabama,2014,SEC
15,Royce Freeman,"Imperial, CA",RB,5 ft 11.5 in,215,Oregon,2014,Pac-12
16,Tony Brown,"Beaumont, TX",CB,6 ft 0 in,188,Alabama,2014,SEC
17,Nick Chubb,"Cedartown, GA",RB,5 ft 11 in,216,Georgia,2014,SEC
18,Thomas Holley,"Brooklyn, NY",DT,6 ft 4 in,285,Florida,2014,SEC
19,Teez Tabor,"Washington, DC",CB,6 ft 1 in,182,Florida,2014,SEC
20,Lorenzo Carter,"Norcross, GA",WDE,6 ft 5 in,232,Georgia,2014,SEC
21,Matt Elam,"Elizabethtown, KY",DT,6 ft 5 in,372,Kentucky,2014,SEC
22,Tre' Williams,"Mobile, AL",ILB,6 ft 3 in,237,Auburn,2014,SEC
23,Travis Rudolph,"West Palm Beach, FL",WR,6 ft 1 in,185,Florida State,2014,ACC
24,Adoree' Jackson,"Gardena, CA",CB,5 ft 9.5 in,182,USC,2014,Pac-12
25,Rod Taylor,"Jackson, MS",OG,6 ft 3.5 in,305,Ole Miss,2014,SEC
26,Gerald Willis,"New Orleans, LA",DT,6 ft 3 in,275,Florida,2014,SEC
27,Joe Mixon,"Oakley, CA",APB,6 ft 2 in,195,Oklahoma,2014,Big 12
28,Raekwon McMillan,"Hinesville, GA",ILB,6 ft 2 in,242,Ohio State,2014,Big Ten
29,Chad Thomas,"Miami, FL",WDE,6 ft 5 in,240,Miami,2014,ACC
30,Malachi Dupre,"New Orleans, LA",WR,6 ft 2.5 in,187,LSU,2014,SEC
31,Clifton Garrett,"Plainfield, IL",OLB,6 ft 2 in,228,LSU,2014,SEC
32,Jalen Hurd,"Hendersonville, TN",ATH,6 ft 3 in,230,Tennessee,2014,SEC
