,2024 season locations,Location,Game,Year,Winner,Score,Loser
1,Date,Location,Game,Year,,,Game
2, Aug.24,"Dublin, Ireland","Georgia Tech 24, No. 10 Florida State 21",2024,Georgia Tech 24,24-10,No. 10 Florida State 21
3,Aug. 31,"College Station, TX","No. 7 Notre Dame 23, No. 20 Texas A&M 13",2024,No. 7 Notre Dame 23,7-23,No. 20 Texas A&M 13
4,Sept. 7,"Ann Arbor, MI","No. 3 Texas 31, No. 10 Michigan 12",2024,No. 3 Texas 31,3-31,No. 10 Michigan 12
5,Sept. 14,"Columbia, SC","No. 16 LSU 36, South Carolina 33",2024,No. 16 LSU 36,16-36,South Carolina 33
6,Sept. 21,"Norman, OK","No. 6 Tennessee 25, No. 15 Oklahoma 14",2024,No. 6 Tennessee 25,6-25,No. 15 Oklahoma 14
7,Sept. 28,"Tuscaloosa, AL","No. 4 Alabama 41, No. 2 Georgia 34",2024,No. 4 Alabama 41,4-41,No. 2 Georgia 34
8,Oct. 5,"Berkeley, CA ","No. 8 Miami (Fla.) 39, Cal 38",2024,No. 8 Miami (Fla.) 39,8-39,Cal 38
9,Oct. 12,"Eugene, OR","No. 3 Oregon 32, No. 2 Ohio State 31",2024,No. 3 Oregon 32,3-32,No. 2 Ohio State 31
10,Oct. 19,"Austin, TX","No. 5 Georgia 30, No. 1 Texas 15",2024,No. 5 Georgia 30,5-30,No. 1 Texas 15
11,Oct. 26,"Bloomington, IN","No. 13 Indiana 31, Washington 17",2024,No. 13 Indiana 31,13-31,Washington 17
12,Nov. 2,"University Park, PA","No. 4 Ohio State 20, No. 3 Penn State 13",2024,No. 4 Ohio State 20,4-20,No. 3 Penn State 13
13,Nov. 9,"Baton Rouge, LA","No. 11 Alabama 42, No. 14 LSU 13",2024,No. 11 Alabama 42,11-42,No. 14 LSU 13
14,Nov. 16,"Athens, GA","No. 12 Georgia 31, No. 7 Tennessee 17",2024,No. 12 Georgia 31,12-31,No. 7 Tennessee 17
15,Nov. 23,"Columbus, OH","No. 2 Ohio State 38, No. 5 Indiana 15",2024,No. 2 Ohio State 38,2-38,No. 5 Indiana 15
16,Nov. 30,"College Station, TX",Texas at Texas A&M,2024,,,Texas at Texas A&M
17,Sept. 2,"Charlotte, NC","No. 21 North Carolina 31, South Carolina 17",2023,No. 21 North Carolina 31,21-31,South Carolina 17
18,Sept. 9,"Tuscaloosa, AL","No. 11 Texas 34, No. 3 Alabama 24",2023,No. 11 Texas 34,11-34,No. 3 Alabama 24
19,Sept. 16,"Boulder, CO","No. 18 Colorado 43, Colorado State 35",2023,No. 18 Colorado 43,18-43,Colorado State 35
20,Sept. 23,"South Bend, IN","No. 6 Ohio State 17, No. 9 Notre Dame 14",2023,No. 6 Ohio State 17,6-17,No. 9 Notre Dame 14
21,Sept. 30,"Durham, NC","No. 11 Notre Dame 21, No. 17 Duke 14 ",2023,No. 11 Notre Dame 21,11-21,No. 17 Duke 14
22,Oct. 7,"Dallas, TX","No. 12 Oklahoma 34, No. 3 Texas 30",2023,No. 12 Oklahoma 34,12-34,No. 3 Texas 30
23,Oct. 14,"Seattle, WA","No. 7 Washington 36, No. 8 Oregon 33",2023,,7-36,No. 8 Oregon 33
24,Oct. 21,"Columbus, OH","No. 3 Ohio State 20, No. 6 Penn State 12",2023,No. 3 Ohio State 20,3-20,No. 6 Penn State 12
25,Oct. 28,"Salt Lake City, UT","No. 8 Oregon 35, No. 13 Utah 6",2023,No. 8 Oregon 35,8-35,No. 13 Utah 6
26,Nov. 4,"Tuscaloosa, AL","No. 8 Alabama 42, No. 14 LSU 28",2023,No. 8 Alabama 42,8-42,No. 14 LSU 28
27,Nov. 11,"Athens, GA","No. 2 Georgia 52, Ole Miss 17",2023,No. 2 Georgia 52,2-52,Ole Miss 17
28,Nov. 18,"Harrisonburg, VA","Appalachian State 26, James Madison 24",2023,Appalachian State 26,26-24,James Madison 24
29,Nov. 25,"Ann Arbor, MI","No. 3 Michigan 30, No. 2 Ohio State 24",2023,No. 3 Michigan 30,3-30,No. 2 Ohio State 24
30,Dec. 2,"Atlanta, GA (SEC Championship)","No. 8 Alabama 27, No. 1 Georgia 24",2023,No. 8 Alabama 27,8-27,No. 1 Georgia 24
31,Jan. 1,"Pasadena, Calif (Rose Bowl) ","No. 1 Michigan 27, No. 5 Alabama 20",2023,No. 1 Michigan 27,1-27,No. 5 Alabama 20
32,Jan. 8,"Houston, TX (CFP National Championship)","No. 1 Michigan 34, No. 2 Washington 13",2023,No. 1 Michigan 34,1-34,No. 2 Washington 13
33,Sept. 1,"Pittsburgh, PA","No. 17 Pittsburgh 38, West Virginia 31",2022,No. 17 Pittsburgh 38,17-38,West Virginia 31
34,Sept. 3,"Columbus, OH","No. 2 Ohio State 21, No. 5 Notre Dame 10",2022,,2-21,No. 5 Notre Dame 10
35,Sept. 10,"Austin, TX","No. 1 Alabama 20, Texas 19",2022,No. 1 Alabama 20,1-20,Texas 19
36,Sept. 17,"Boone, NC","Appalachian State 32, Troy 28",2022,Appalachian State 32,32-28,Troy 28
37,Sept. 24,"Knoxville, TN","No. 11 Tennessee 38, No. 20 Florida 33",2022,No. 11 Tennessee 38,11-38,No. 20 Florida 33
38,Oct. 1 ,"Clemson, SC","No. 5 Clemson 30, No. 10 NC State 20",2022,No. 5 Clemson 30,5-30,No. 10 NC State 20
39,Oct. 8,"Lawrence, KS","No. 17 TCU 38, No. 19 Kansas 31",2022,No. 17 TCU 38,17-38,No. 19 Kansas 31
40,Oct. 15,"Knoxville, TN","No. 6 Tennessee 52, No. 3 Alabama 49",2022,No. 6 Tennessee 52,6-52,No. 3 Alabama 49
41,Oct. 22,"Eugene, OR","No. 10 Oregon 45, No. 9 UCLA 30",2022,No. 10 Oregon 45,10-45,No. 9 UCLA 30
42,Oct. 29,"Jackson, MS","*No. 5 Jackson State 35, Southern 0",2022,*No. 5 Jackson State 35,5-35,Southern 0
43,Nov. 5,"Athens, GA","No. 3 Georgia 27, No. 1 Tennessee 13",2022,No. 3 Georgia 27,3-27,No. 1 Tennessee 13
44,Nov. 12,"Austin, TX","No. 4 TCU 17, No. 18 Texas 10",2022,No. 4 TCU 17,4-17,No. 18 Texas 10
45,Nov. 19,"Bozeman, MT","No. 3 Montana State* 55, No. 12 Montana* 21",2022,No. 3 Montana State* 55,3-55,No. 12 Montana* 21
46,Nov. 26,"Columbus, OH","No. 3 Michigan 45, No. 2 Ohio State 23 ",2022,No. 3 Michigan 45,3-45,No. 2 Ohio State 23
47,Dec. 3,"Arlington, TX  (Big 12 Championship)","No. 10 Kansas State 31, No. 3 TCU 28 (OT)",2022,No. 10 Kansas State 31,10-31,No. 3 TCU 28 (OT)
48,Dec. 31,"Atlanta, GA (CFP Semifinal)","No. 1 Georgia 42, No. 4 Ohio State 41",2022,No. 1 Georgia 42,1-42,No. 4 Ohio State 41
49,Jan. 2,"Pasadena, CA (Rose Bowl)","No. 11 Penn State 35, No. 8 Utah 21",2022,No. 11 Penn State 35,11-35,No. 8 Utah 21
50,Jan. 9 ,"Inglewood, CA (CFP National Championship)","No. 1 Georgia 65, No. 3 TCU 7",2022,No. 1 Georgia 65,1-65,No. 3 TCU 7
51,Aug. 28,"Atlanta, GA","North Carolina Central 23, Alcorn State 14",2021,North Carolina Central 23,23-14,Alcorn State 14
52,Sept. 4,"Charlotte, NC","No. 5 Georgia 10, No. 3 Clemson 3",2021,No. 5 Georgia 10,5-10,No. 3 Clemson 3
53,Sept. 11,"Ames, IA","No. 10 Iowa 27, No. 9 Iowa State 17",2021,No. 10 Iowa 27,10-27,No. 9 Iowa State 17
54,Sept. 18,"University Park, PA","No. 10 Penn State 28, No. 22 Auburn 20",2021,No. 10 Penn State 28,10-28,No. 22 Auburn 20
55,Sept. 25,Chicago (Soldier Field),"No. 12 Notre Dame 41, No. 18 Wisconsin 13",2021,No. 12 Notre Dame 41,12-41,No. 18 Wisconsin 13
56,Oct. 2,"Athens, GA","No. 2 Georgia 37, No. 8 Arkansas 0",2021,No. 2 Georgia 37,2-37,No. 8 Arkansas 0
57,Oct. 9,"Dallas, TX (Cotton Bowl)","No. 6 Oklahoma 55, No. 21 Texas 48",2021,No. 6 Oklahoma 55,6-55,No. 21 Texas 48
58,Oct. 16,"Athens, GA","No. 1 Georgia 30, No. 11 Kentucky 13",2021,No. 1 Georgia 30,1-30,No. 11 Kentucky 13
59,Oct. 23,"Los Angeles, CA","No. 10 Oregon 34, UCLA 31",2021,No. 10 Oregon 34,10-34,UCLA 31
60,Oct. 30,"East Lansing, MI","No. 8 Michigan State 37, No. 6 Michigan 33",2021,No. 8 Michigan State 37,8-37,No. 6 Michigan 33
61,Nov. 6,"Cincinnati, OH","No. 6 Cincinnati 28, Tulsa 20",2021,No. 6 Cincinnati 28,6-28,Tulsa 20
62,Nov. 13,"Oxford, MS","No. 15 Ole Miss 29, No. 11 Texas A&M 19",2021,No. 15 Ole Miss 29,15-29,No. 11 Texas A&M 19
63,Nov. 20,"Columbus, OH","No. 4 Ohio State 56, No. 7 Michigan State 7",2021,No. 4 Ohio State 56,4-56,No. 7 Michigan State 7
64,Nov. 27,"Ann Arbor, MI","No. 5 Michigan 42, No. 2 Ohio State 27",2021,No. 5 Michigan 42,5-42,No. 2 Ohio State 27
65,Dec. 4 ,"Atlanta, GA (SEC Championship)","No. 3 Alabama 41, No. 1 Georgia 24",2021,No. 3 Alabama 41,3-41,No. 1 Georgia 24
66,Dec. 11,"East Rutherford, NJ","Navy 17, Army 13",2021,Navy 17,17-13,Army 13
67,Dec. 31,"Miami Gardens, FL (CFP Semifinal)","No. 3 Georgia 34, No. 2 Michigan 11",2021,No. 3 Georgia 34,3-34,No. 2 Michigan 11
68,Jan. 1,"Pasadena, CA (Rose Bowl)","No. 7 Ohio State 48, No. 10 Utah 45",2021,No. 7 Ohio State 48,7-48,No. 10 Utah 45
69,Jan. 10,"Indianapolis, IN (CFP National Championship)","No. 3 Georgia 33, No. 1 Alabama 18",2021,No. 3 Georgia 33,3-33,No. 1 Alabama 18
70,Sept. 12,"Winston-Salem, NC","No. 1 Clemson 37, Wake Forest 13",2020,No. 1 Clemson 37,1-37,Wake Forest 13
71,Sept. 19,"Louisville, KY","No. 17 Miami (FL) 47, No. 18 Louisville 34",2020,No. 17 Miami (FL) 47,17-47,No. 18 Louisville 34
72,Sept. 26,"Miami Gardens, FL","No. 12 Miami (FL) 52, Florida State 10",2020,No. 12 Miami (FL) 52,12-52,Florida State 10
73,Oct. 3,"Athens, GA","No. 4 Georgia 27, No. 7 Auburn 6",2020,No. 4 Georgia 27,4-27,No. 7 Auburn 6
74,Oct. 10,"Clemson, SC","No. 1 Clemson 42, No. 7 Miami (FL) 17",2020,No. 1 Clemson 42,1-42,No. 7 Miami (FL) 17
75,Oct. 17,"Tuscaloosa, AL","No. 2 Alabama 41, No. 3 Georgia 24",2020,No. 2 Alabama 41,2-41,No. 3 Georgia 24
76,Oct. 24,"Minneapolis, MN","No. 18 Michigan 49, No. 21 Minnesota 24",2020,No. 18 Michigan 49,18-49,No. 21 Minnesota 24
77,Oct. 31,"University Park, PA","No. 3 Ohio State 38, No. 18 Penn State 25",2020,No. 3 Ohio State 38,3-38,No. 18 Penn State 25
78,Nov. 7,"South Bend, IN","No. 4 Notre Dame 47, No. 1 Clemson 40 (2OT)",2020,No. 4 Notre Dame 47,4-47,No. 1 Clemson 40 (2OT)
79,Nov. 14,"Augusta, GA (Site of the Masters)",--,2020,,,--
80,Nov. 21,"Norman, OK","No. 18 Oklahoma 41, No. 14 Oklahoma State 13",2020,No. 18 Oklahoma 41,18-41,No. 14 Oklahoma State 13
81,Nov. 28,"Tuscaloosa, AL","No. 1 Alabama 42, No. 22 Auburn 13",2020,No. 1 Alabama 42,1-42,No. 22 Auburn 13
82,Dec. 5,"Conway, SC","No. 18 Coastal Carolina 22, No. 13 BYU 17",2020,No. 18 Coastal Carolina 22,18-22,No. 13 BYU 17
83,Dec. 12,"West Point, NY","Army 15, Navy 0",2020,Army 15,15-0,Navy 0
84,Dec. 19,"Charlotte, NC","No. 3 Clemson 34, No. 2 Notre Dame 10 (ACC Championship)",2020,No. 3 Clemson 34,3-34,No. 2 Notre Dame 10 (ACC Championship)
85,Jan. 1,"New Orleans, LA (CFP semifinal)","No. 3 Ohio State 49, No. 2 Clemson 28",2020,No. 3 Ohio State 49,3-49,No. 2 Clemson 28
86,Jan. 11,"Miami Gardens, FL","No. 1 Alabama 52, No. 3 Ohio State 24",2020,No. 1 Alabama 52,1-52,No. 3 Ohio State 24
88,Aug. 24,"Orlando, FL (Disney World)","No. 8 Florida 24, Miami 20",2019,No. 8 Florida 24,8-24,Miami 20
89,Aug. 29,"Clemson, SC","No. 1 Clemson 52, Georgia Tech 14",2019,No. 1 Clemson 52,1-52,Georgia Tech 14
90,Aug. 31,"Arlington, TX","No. 16 Auburn 27, No. 11 Oregon 21",2019,No. 16 Auburn 27,16-27,No. 11 Oregon 21
91,Sept. 7,"Austin, TX","No. 6 LSU 45, No. 10 Texas 38",2019,No. 6 LSU 45,6-45,No. 10 Texas 38
92,Sept. 14,"Ames, IA","No. 20 Iowa 18, Iowa State 17",2019,No. 20 Iowa 18,20-18,Iowa State 17
93,Sept. 21,"Athens, GA","No. 3 Georgia 23, No. 7 Notre Dame 17",2019,No. 3 Georgia 23,3-23,No. 7 Notre Dame 17
94,Sept. 28,"Lincoln, NE","No. 5 Ohio State 48, Nebraska 7",2019,No. 5 Ohio State 48,5-48,Nebraska 7
95,Oct. 5,"Gainesville, FL","No. 10 Florida 24, No. 7 Auburn 13",2019,No. 10 Florida 24,10-24,No. 7 Auburn 13
96,Oct. 12,"Baton Rouge, LA","No. 5 LSU 42, No. 7 Florida 28",2019,No. 5 LSU 42,5-42,No. 7 Florida 28
97,Oct. 19,"University Park, PA","No. 7 Penn State 28, No. 16 Michigan 21",2019,No. 7 Penn State 28,7-28,No. 16 Michigan 21
98,Oct. 26,"Brookings, SD","North Dakota State 23, South Dakota State 16",2019,North Dakota State 23,23-16,South Dakota State 16
99,Nov. 2,"Memphis, TN","No. 24 Memphis 54, No. 15 SMU 48",2019,No. 24 Memphis 54,24-54,No. 15 SMU 48
100,Nov. 9,"Tuscaloosa, AL","No. 2 LSU 46, No. 3 Alabama 41",2019,No. 2 LSU 46,2-46,No. 3 Alabama 41
101,Nov. 16,"Waco, TX","No. 10 Oklahoma 34, No. 13 Baylor 31",2019,No. 10 Oklahoma 34,10-34,No. 13 Baylor 31
102,Nov. 23,"Columbus, OH","No. 2 Ohio State 28, No. 8 Penn State 17",2019,No. 2 Ohio State 28,2-28,No. 8 Penn State 17
103,Nov. 30,"Minneapolis, MN","No. 12 Wisconsin 38, No. 8 Minnesota 17",2019,No. 12 Wisconsin 38,12-38,No. 8 Minnesota 17
104,Dec. 7,"Atlanta, GA","No. 2 LSU 37, No. 4 Georgia 10 (SEC Championship Game)",2019,No. 2 LSU 37,2-37,No. 4 Georgia 10 (SEC Championship Game)
105,Dec. 14,"Philadelphia, PA","No. 23 Navy 31, Army 7",2019,No. 23 Navy 31,23-31,Army 7
106,Dec. 28,"Glendale, AZ (CFP semifinals)","No. 3 Clemson 29, No. 2 Ohio State 23",2019,No. 3 Clemson 29,3-29,No. 2 Ohio State 23
107,Jan. 1,"Pasadena, CA (Rose Bowl)","No. 6 Oregon 28, No. 8 Wisconsin 27",2019,No. 6 Oregon 28,6-28,No. 8 Wisconsin 27
108,Jan. 13,"New Orleans, LA","No. 1 LSU 42, No. 3 Clemson 25",2019,No. 1 LSU 42,1-42,No. 3 Clemson 25
109,Sept. 1,"South Bend, IN",No. 12 Notre Dame,2018,,,No. 12 Notre Dame
110,Sept. 8,"College Station, TX",No. 2 Clemson,2018,,,No. 2 Clemson
111,Sept. 15,"Forth Worth, TX",No. 4 Ohio State,2018,,,No. 4 Ohio State
113,Sept. 22,"Eugene, OR",No. 7 Stanford,2018,,,No. 7 Stanford
114,Sept. 29,"University Park, PA",No. 4 Ohio State,2018,,,No. 4 Ohio State
115,Oct. 6,"Dallas, TX",No. 19 Texas,2018,,,No. 19 Texas
116,Oct. 13,"Ann Arbor, MI",No. 12 Michigan,2018,,,No. 12 Michigan
117,Oct. 20,"Pullman, WA",No. 25 Washington State,2018,,,No. 25 Washington State
118,Oct. 27,"Jacksonville, FL",No. 7 Georgia,2018,,,No. 7 Georgia
119,Nov. 3,"Baton Rouge, LA",No. 1 Alabama,2018,,,No. 1 Alabama
120,Nov. 10,"Chestnut Hill, LA",No. 2 Clemson,2018,,,No. 2 Clemson
121,Nov. 17,"Orlando, FL",No. 11 UCF,2018,,,No. 11 UCF
122,Nov. 24,"Columbus, OH",No. 10 Ohio State,2018,,,No. 10 Ohio State
123,Dec. 1,"Atlanta, GA",No. 1 Alabama,2018,,,No. 1 Alabama
125,Dec. 8,"Philadelphia, PA",No. 22 Army,2018,,,No. 22 Army
126,Dec. 29,"Miami Gardens, FL (CFP Semifinal)",No. 1 Alabama,2018,,,No. 1 Alabama
127,Jan. 1,"Pasadena, CA (Rose Bowl)",No. 6 Ohio State,2018,,,No. 6 Ohio State
128,Jan. 7,"Santa Clara, CA",No. 2 Clemson,2018,,,No. 2 Clemson
